iter	F1	Logloss
0	0.8648387473	0.5298202355
1	0.9018553271	0.4216752637
2	0.9481717094	0.350585831
3	0.9641428645	0.290148603
4	0.97135205	0.2562901683
5	0.971558307	0.232966656
6	0.9731371885	0.2019162043
7	0.9749725965	0.1828834593
8	0.9758655603	0.1676168954
9	0.9764032118	0.1573539715
10	0.9770158158	0.1471354152
11	0.979274448	0.1360240627
12	0.9797051457	0.1304763908
13	0.9806260767	0.1220368135
14	0.9810457085	0.1148528839
15	0.9810573701	0.1104351196
16	0.9818727164	0.1025787623
17	0.9845470001	0.09612569443
18	0.9851430685	0.09314293227
19	0.985798407	0.08823782565
20	0.9868801198	0.08249677948
21	0.9874805681	0.08066020725
22	0.9878205127	0.07631156874
23	0.9880198995	0.07255748284
24	0.9881372234	0.07000552702
25	0.9884658786	0.06716683454
26	0.988665526	0.06498811368
27	0.9888417525	0.06365871323
28	0.9890650628	0.06149225176
29	0.9896061269	0.05900997757
30	0.9898415568	0.05705591566
31	0.9898768809	0.05623165755
32	0.9900299814	0.05534900827
33	0.9902066946	0.05254469065
34	0.9905367281	0.04977399264
35	0.9906900328	0.04855782793
36	0.9909495796	0.04681778143
37	0.9911030121	0.04522969375
38	0.9911030121	0.04449437943
39	0.9911738431	0.04388848538
40	0.9912092624	0.04321876767
41	0.9912683002	0.04252864257
42	0.9913155355	0.04184560956
43	0.9913509649	0.04136533379
44	0.9914336434	0.04064582329
45	0.9915990419	0.04021854698
46	0.9918117781	0.03903286978
47	0.9919891281	0.03840254899
48	0.9920955685	0.03790416287
49	0.9923440183	0.03687184908
50	0.9924268625	0.0359758577
51	0.9926044325	0.03506386345
52	0.9927346909	0.03452982732
53	0.9929479148	0.03373764463
54	0.9930901149	0.03283545672
55	0.9931967917	0.03195245919
56	0.9932797784	0.03130198434
57	0.9935169597	0.03048497346
58	0.9935881362	0.03010154531
59	0.9936949201	0.02966102179
60	0.9937423869	0.02911269571
61	0.9938017269	0.02885402598
62	0.993920428	0.02854103397
63	0.9939797893	0.02793346242
64	0.9940035357	0.02771300748
65	0.9940629069	0.02748804302
66	0.994098533	0.0271408673
67	0.9941579155	0.02645727905
68	0.9942054266	0.02629212921
69	0.9943479871	0.02567319886
70	0.9943717512	0.02551402046
71	0.9944430502	0.02513746315
72	0.9945975665	0.02463385463
73	0.9947283485	0.02417928326
74	0.9948829535	0.0237534065
75	0.9949305339	0.02346165846
76	0.9950138106	0.02311747101
77	0.9950971013	0.02281327002
78	0.9950971013	0.02270259689
79	0.9951328015	0.02256367163
80	0.9952637244	0.02219974878
81	0.9953470569	0.02175171802
82	0.9954304033	0.02128609014
83	0.9955494939	0.02081239838
84	0.995668613	0.02044681614
85	0.9957877605	0.02017867475
86	0.9957996769	0.02004892164
87	0.9958115935	0.01997405638
88	0.995847345	0.01987003679
89	0.9959188558	0.01968780326
90	0.9959665354	0.01920323022
91	0.9960022981	0.01904823832
92	0.9960380633	0.01892981935
93	0.9961096015	0.01869530331
94	0.9961334498	0.01852191573
95	0.9961572993	0.01837863509
96	0.9962050017	0.0180570347
97	0.9962765639	0.01758382138
98	0.9963004202	0.0174628803
99	0.9963362069	0.01730669488
100	0.9963481363	0.01699724741
101	0.9964555143	0.01667391363
102	0.9964793792	0.01634449675
103	0.9966106566	0.01595021362
104	0.9966464656	0.01574201267
105	0.9966822771	0.01567825384
106	0.9966942149	0.01550228038
107	0.9967300298	0.0154293384
108	0.9967419687	0.01539339238
109	0.9967539079	0.01517920782
110	0.9968374901	0.0148005109
111	0.9968494316	0.01475584558
112	0.9969091432	0.01459868605
113	0.9969808065	0.01437153668
114	0.9970046966	0.01422962339
115	0.9970046966	0.01410546764
116	0.9970644268	0.0138845144
117	0.9970883209	0.01381294714
118	0.9971480611	0.01352157422
119	0.9971719592	0.01344019556
120	0.9971719592	0.01338081082
121	0.9972078085	0.0133432621
122	0.9972317095	0.01329827458
123	0.9972436604	0.01317335154
124	0.9973273248	0.0130547152
125	0.997339278	0.01295325724
126	0.9974110032	0.01265782239
127	0.9974707821	0.01250419099
128	0.9974349139	0.01237066442
129	0.9974588258	0.0122671869
130	0.9974946957	0.01202622875
131	0.9975425263	0.01189968955
132	0.9975664433	0.01167854989
133	0.9975903614	0.0114715332
134	0.9975903614	0.01128421138
135	0.9976023209	0.01119872912
136	0.9976382012	0.01110118006
137	0.9976860455	0.01091182446
138	0.997674084	0.0108103225
139	0.9976980073	0.01063996465
140	0.9977219318	0.01056984767
141	0.9977458574	0.01050792189
142	0.9977697842	0.01048503598
143	0.9977937121	0.01038978676
144	0.9977697842	0.01031012171
145	0.9977697842	0.01021278957
146	0.997781748	0.01012502511
147	0.9978176411	0.009994689668
148	0.9978535369	0.009939827316
149	0.9978774688	0.009849474856
150	0.9979014019	0.00976152244
151	0.997973208	0.009679284972
152	0.9979851766	0.009606950563
153	0.9980450244	0.009504751742
154	0.9980569948	0.009425444418
155	0.9980689655	0.009313986541
